Price,Open,High,Low,Close
Ticker,000660.KS,000660.KS,000660.KS,000660.KS
Date,,,,
2000-03-01,-159535.046875,-159535.046875,-159535.046875,-159535.046875
2000-03-02,-183153.359375,-183153.359375,-183153.359375,-183153.359375
2000-03-03,-210336.71875,-210336.71875,-194739.7163003178,-210336.71875
2000-03-06,-205880.4083614865,-208999.80848817568,-195185.32221283784,-197859.09375
2000-03-07,-196076.62305122495,-204989.19682628062,-191620.3361636971,-200087.28125
2000-03-08,-191620.28030097613,-208108.53697803686,-191620.28030097613,-205434.765625
2000-03-09,-205880.434375,-209445.4635416667,-200532.890625,-200532.890625
2000-03-10,-204989.16518912528,-206771.67966903074,-184490.24867021275,-188500.90625
2000-03-13,-180925.21006944444,-182707.7244543651,-166219.4663938492,-168447.609375
2000-03-14,-172012.6123889594,-183598.95415609138,-169338.84121192893,-175577.640625
2000-03-15,-169338.87241484187,-186272.75965632606,-167556.35796836985,-183153.359375
2000-03-16,-189837.7567630597,-190729.01383706467,-176023.27211598257,-179142.671875
2000-03-17,-184490.24278846153,-189392.15745192306,-182707.7283653846,-185381.5
2000-03-20,-196076.5793918919,-200978.4938766892,-192511.55067567568,-197859.09375
2000-03-21,-198750.34636563878,-204097.8893171806,-193848.43199339206,-202315.375
2000-03-22,-204097.9048828125,-216575.5060546875,-202315.3904296875,-213901.734375
2000-03-23,-218357.99762228262,-226824.94038722827,-204989.140625,-204989.140625
2000-03-24,-213901.72277227722,-235737.52363861387,-206771.66534653466,-225042.4375
2000-03-27,-227716.22737500002,-232618.14225,-215684.2545,-222814.3125
2000-03-28,-227270.50374034749,-238411.2147080116,-222814.21935328186,-230835.53125
2000-03-29,-230835.58397705993,-245095.69727294007,-227270.5556530899,-237965.640625
2000-03-30,-235291.94117647057,-235291.94117647057,-221923.08088235292,-227270.625
2000-03-31,-218803.71500254064,-231726.94867886178,-218803.71500254064,-219249.34375
2000-04-03,-223705.58741387795,-233509.41793799214,-221477.4441129429,-226379.359375
2000-04-04,-222814.31136592742,-229498.74070690526,-214792.99615675403,-221031.796875
2000-04-05,-221031.796875,-221031.796875,-221031.796875,-221031.796875
2000-04-06,-225933.68619791666,-227270.5719150641,-208554.171875,-208554.171875
2000-04-07,-212119.21868609407,-220140.53367842536,-212119.21868609407,-217912.390625
2000-04-10,-219249.23085699795,-225042.40159102433,-215238.5741949797,-219694.859375
2000-04-11,-216575.5060546875,-217021.13466796876,-210782.33408203124,-213901.734375
2000-04-12,-213901.7319587629,-219249.27525773196,-209445.44587628866,-216129.875
2000-04-13,-216129.875,-216129.875,-216129.875,-216129.875
2000-04-14,-205880.41095132742,-209445.43971238937,-196076.58185840707,-201424.125
2000-04-17,-172458.25714285715,-182262.0857142857,-171567.0,-171567.0
2000-04-18,-195185.3547413793,-196522.24073275863,-181816.4948275862,-193848.46875
2000-04-19,-202761.0327914798,-208999.83380044842,-192065.94534753362,-198750.375
2000-04-20,-196076.578125,-201869.74975142046,-193402.80660511364,-196076.578125
2000-04-21,-202315.35021802326,-203206.60726744187,-191620.265625,-191620.265625
2000-04-24,-187163.98871527778,-194294.04542824076,-183598.96035879632,-192511.53125
2000-04-25,-187164.0349045346,-189837.80683174226,-184490.26297732696,-186718.40625
2000-04-26,-191620.31206232493,-193848.45522584033,-159089.421875,-159089.421875
2000-04-27,-147057.44727167184,-151513.73355263157,-135471.10294117648,-143938.046875
2000-04-28,-147503.07981178976,-159980.6817294034,-147057.451171875,-156861.28125
2000-05-01,-156861.28125,-156861.28125,-156861.28125,-156861.28125
2000-05-02,-151513.67546695404,-161317.50152658045,-148394.2762661638,-155078.703125
2000-05-03,-154187.4462104885,-161317.50152658045,-151068.0470096983,-155078.703125
2000-05-04,-156861.24142857143,-162208.78375,-153296.2132142857,-155969.984375
2000-05-05,-155969.984375,-155969.984375,-155969.984375,-155969.984375
2000-05-08,-159535.05050770307,-163991.3368347339,-156415.6500787815,-159089.421875
2000-05-09,-159089.421875,-159089.421875,-159089.421875,-159089.421875
2000-05-10,-152404.984375,-154633.12742141812,-151513.72715643275,-152404.984375
2000-05-11,-152404.984375,-152404.984375,-152404.984375,-152404.984375
2000-05-12,-152404.97189405488,-154187.4861852134,-144829.2861566311,-146166.171875
2000-05-15,-151513.72108208956,-159089.40713619403,-147948.69235074625,-149285.578125
2000-05-16,-150622.44205357143,-156415.6129017857,-149731.185,-155969.984375
2000-05-17,-160426.31036931818,-164436.96812855112,-153741.8807705966,-156861.28125
2000-05-18,-150622.46993786548,-155524.38463998536,-149285.5841100146,-152404.984375
2000-05-19,-151513.65625,-152404.9130514706,-147503.00064338234,-151513.65625
2000-05-22,-148839.91861579756,-151068.06111004602,-145274.890625,-145274.890625
2000-05-23,-139036.1086448598,-146611.79405179128,-139036.1086448598,-143046.765625
2000-05-24,-139036.112109375,-147057.42626953125,-133688.5693359375,-142601.140625
2000-05-25,-151068.06954747773,-154633.0977373887,-144383.64169139465,-150176.8125
2000-05-26,-144383.65666390728,-146166.17094370862,-131906.05670529802,-134579.828125
2000-05-29,-117200.29478790614,-131906.03519855597,-114526.52380415163,-123439.09375
2000-05-30,-123439.09375,-123439.09375,-123439.09375,-123439.09375
2000-05-31,-150622.48029119318,-162654.45356889203,-147503.07981178976,-156861.28125
2000-06-01,-156861.28333333333,-167556.37083333335,-151513.73958333334,-160426.3125
2000-06-02,-173795.1587701613,-173795.1587701613,-163100.0720766129,-165773.84375
2000-06-05,-172903.89421834625,-176023.29437177003,-168447.60828488372,-172458.265625
2000-06-06,-172458.265625,-172458.265625,-172458.265625,-172458.265625
2000-06-07,-171121.39393939392,-180033.96654040404,-168001.9935290404,-176468.9375
2000-06-08,-179142.7191229117,-201869.78050417663,-178251.46181384247,-186718.40625
2000-06-09,-187163.994140625,-199641.59375,-186718.36558314733,-199641.59375
2000-06-12,-203206.63551136365,-209445.43572443182,-194294.0637784091,-196076.578125
2000-06-13,-191620.3079710145,-193402.82246376813,-182707.73550724637,-184490.25
2000-06-14,-192511.57046979867,-200532.88590604026,-185827.1409395973,-199196.0
2000-06-15,-192511.55643203884,-194739.69944629853,-182707.72716929612,-183598.984375
2000-06-16,-180925.1875,-188946.5012315271,-176468.90209359606,-180925.1875
2000-06-19,-173795.1621536524,-183598.991813602,-172903.9049118388,-176914.5625
2000-06-20,-186272.75965632606,-188055.27410279805,-181816.473540146,-183153.359375
2000-06-21,-188055.24857954547,-194739.6768465909,-184935.8487215909,-186272.734375
2000-06-22,-195185.32095170455,-206771.66420454546,-192065.92084517045,-196076.578125
2000-06-23,-193402.81137133183,-201424.12612866817,-192065.92557844243,-197413.46875
2000-06-26,-203206.62635869568,-208554.1691576087,-200532.85495923914,-204989.140625
2000-06-27,-207662.921875,-210336.69340128754,-202761.0074101395,-207662.921875
2000-06-28,-207662.94690148305,-211673.60467425847,-204989.1750529661,-210336.71875
2000-06-29,-209445.4624439462,-212564.86294843047,-191620.31670403585,-198750.375
2000-06-30,-193402.80660511364,-200532.86399147726,-191620.29225852274,-196076.578125
2000-07-03,-198750.37604166666,-200978.51927083335,-196076.6041666667,-200532.890625
2000-07-04,-203206.6321585903,-206771.66079295153,-196967.83204845816,-202315.375
2000-07-05,-204989.16798523208,-211673.59737605485,-203652.28210706753,-211227.96875
2000-07-06,-205880.44419642858,-219694.93287627553,-203206.67219387757,-218358.046875
2000-07-07,-218358.046875,-224596.84821428574,-216575.53220663266,-218358.046875
2000-07-10,-221923.00601708074,-223705.5201216356,-212564.80696816772,-215238.578125
2000-07-11,-218358.01189853557,-220140.52628138076,-212119.21155857743,-213010.46875
2000-07-12,-211673.57916443134,-215684.23645386266,-203206.6359978541,-207662.921875
2000-07-13,-209445.49628450107,-213901.78343949045,-203206.69426751594,-209891.125
2000-07-14,-213901.71474358975,-214792.97188835472,-206771.6575854701,-208554.171875
2000-07-17,-208554.171875,-208554.171875,-208554.171875,-208554.171875
2000-07-18,-204097.90964095746,-212564.8534906915,-204097.90964095746,-209445.453125
2000-07-19,-204097.90964095746,-212564.8534906915,-204097.90964095746,-209445.453125
2000-07-20,-191620.31092171717,-191620.31092171717,-176468.9375,-176468.9375
2000-07-21,-181816.47469879518,-189392.1611445783,-180033.96024096385,-184935.875
2000-07-24,-178251.46767810028,-178251.46767810028,-167110.750948219,-168893.265625
2000-07-25,-164882.54880136985,-166665.06284246576,-157306.86412671232,-162654.40625
2000-07-26,-160871.93253032345,-168001.99048180593,-156415.6463106469,-165328.21875
2000-07-27,-160426.3125,-162654.4557291667,-159089.4265625,-160426.3125
2000-07-28,-151513.66261398175,-153741.8047112462,-143492.3510638298,-146611.75
2000-07-31,-143046.73477909484,-155524.33158225575,-140818.5924928161,-155078.703125
2000-08-01,-160426.29375,-178251.4375,-158643.77937499998,-178251.4375
2000-08-02,-178251.47058823527,-179588.35661764705,-167110.75367647057,-174240.8125
2000-08-03,-177805.81370192306,-180925.2139423077,-171121.3846153846,-173795.15625
2000-08-04,-173795.1857002618,-174686.44306282722,-169338.89888743457,-170230.15625
2000-08-07,-163100.09832317074,-168893.2712144309,-162654.46963922764,-164436.984375
2000-08-08,-167556.35819892475,-171121.3870967742,-164882.58652553766,-165773.84375
2000-08-09,-168893.2107612782,-178697.03829887218,-168447.5822368421,-177805.78125
2000-08-10,-177360.16615099012,-180925.19461633664,-173349.50912747526,-180033.9375
2000-08-11,-174686.37338917525,-175577.6303962629,-170675.71685728093,-172903.859375
2000-08-14,-184490.2730221519,-185381.53037974684,-175132.07076740506,-176023.328125
2000-08-15,-176023.328125,-176023.328125,-176023.328125,-176023.328125
2000-08-16,-187164.00330396477,-202315.375,-185827.1175660793,-202315.375
2000-08-17,-202760.95667287844,-205434.7275301032,-191620.2447677752,-194294.015625
2000-08-18,-200532.88741438356,-203652.28788527398,-194739.71511130137,-195185.34375
2000-08-21,-192065.90206916098,-199195.9587585034,-192065.90206916098,-196522.1875
2000-08-22,-194294.08856502242,-198750.375,-193848.45992152466,-198750.375
2000-08-23,-199641.6264236902,-200532.88368451025,-194294.08285876992,-195630.96875
2000-08-24,-200532.890625,-203206.6625,-195630.97552083334,-200532.890625
2000-08-25,-202315.37858719646,-202315.37858719646,-197859.0927152318,-201869.75
2000-08-28,-201869.81692023025,-206326.10426946272,-200532.93071546053,-203206.703125
2000-08-29,-203206.703125,-205434.84679961624,-198750.41577576756,-203206.703125
2000-08-30,-200532.86893340858,-201424.12612866817,-197413.46875,-197413.46875
