Price,Open,High,Low,Close
Ticker,005380.KS,005380.KS,005380.KS,005380.KS
Date,,,,
2003-01-01,16223.2607421875,16223.2607421875,16223.2607421875,16223.2607421875
2003-01-02,16486.340649584792,16924.807156222683,16135.567444274477,16720.189453125
2003-01-03,17304.81904313233,17538.667949120605,17100.20125039259,17450.974609375
2003-01-06,17509.43173101756,17743.28056882748,17334.045102660126,17684.818359375
2003-01-07,18035.58701205666,18064.818109320935,16807.880926957183,16895.57421875
2003-01-08,17129.42820816972,17129.42820816972,16720.192721967713,16749.423828125
2003-01-09,16369.419994212964,16544.806637008103,15667.873423032408,15784.7978515625
2003-01-10,16077.105770362523,16223.261277365818,14790.93730873352,15521.71484375
2003-01-13,15229.404092977335,15960.181640625,15083.248583447801,15960.181640625
2003-01-14,15843.259419326241,16603.268173758865,15843.259419326241,16486.34375
2003-01-15,16515.574471609933,16720.19220842634,16310.956734793526,16369.4189453125
2003-01-16,16077.106787375225,16340.186716623184,15960.182374376134,16106.337890625
2003-01-17,15755.565088435178,16340.18716963871,15697.102880314826,15726.333984375
2003-01-20,15463.25229768573,15930.949909714032,15404.790096182194,15492.4833984375
2003-01-21,15580.176700692808,15638.638902196344,15170.941290168043,15492.4833984375
2003-01-22,15141.706327216569,15375.555073582847,14966.319767441859,15083.244140625
2003-01-23,15083.24922318892,15434.022460937498,15054.018120043203,15434.0224609375
2003-01-24,15434.02553204501,15697.10551270487,14937.0966796875,14937.0966796875
2003-01-27,14440.161004419822,14790.934146227592,14440.161004419822,14674.009765625
2003-01-28,14498.624567687746,14820.166644793726,14498.624567687746,14790.935546875
2003-01-29,14820.167419433594,14849.398518880209,13855.541137695312,14030.927734375
2003-01-30,14235.54635311235,14586.319569205467,14001.697542383603,14440.1640625
2003-01-31,14440.1640625,14440.1640625,14440.1640625,14440.1640625
2003-02-03,14615.547399832054,15317.093675023993,14615.547399832054,15229.400390625
2003-02-04,15492.481580136428,15697.099261383513,15375.55719085238,15667.8681640625
2003-02-05,15200.171308444655,15463.251196475429,15112.478012434398,15317.095703125
2003-02-06,15229.405130386354,15317.098442077639,14878.631883621218,14966.3251953125
2003-02-07,14790.938817492604,14907.863235022189,14440.165564903846,14820.169921875
2003-02-10,14615.552040600869,15229.405226306104,14557.089832438465,15141.7119140625
2003-02-11,15434.021196933962,15697.101103699883,14732.47477889151,15492.4833984375
2003-02-12,15609.411875144142,15901.72295894834,15492.487441622463,15843.2607421875
2003-02-13,15843.252531279648,15901.714717741936,15404.7861328125,15404.7861328125
2003-02-14,15200.172334558823,15317.096737132353,14820.168026194853,14907.861328125
2003-02-17,15434.018840252707,16252.489536326715,15287.86335881092,16194.02734375
2003-02-18,16194.025226676553,16223.256319143478,15638.634469804974,16018.638671875
2003-02-19,16369.417202102803,16369.417202102803,15580.177444144274,15638.6396484375
2003-02-20,15492.485397367494,15755.565338077507,15229.40545665748,15580.1787109375
2003-02-21,15580.178510570704,15872.489552044824,15580.178510570704,15814.02734375
2003-02-24,15872.49117296007,15989.415601490162,15609.411208767362,15784.7978515625
2003-02-25,15404.790693301818,15521.715100841111,14820.168655605356,14878.630859375
2003-02-26,14907.859938549902,15170.939819818428,14615.548959362648,14790.935546875
2003-02-27,14615.54942586501,15112.47810634442,14557.08722816155,14995.5537109375
2003-02-28,15024.78290743277,15229.400573487303,14615.547575323706,14674.009765625
2003-03-03,14644.780645998917,15200.171528781311,14644.780645998917,15170.9404296875
2003-03-04,14878.628840631176,15054.015428143528,14644.780057281374,14790.935546875
2003-03-05,14206.318134014424,14264.780348557691,13563.233774038461,13680.158203125
2003-03-06,13855.541704963234,13855.541704963234,12920.146484375,12920.146484375
2003-03-07,12569.37446367277,12920.147704519452,12452.450050057209,12773.9921875
2003-03-10,12686.297447311046,12803.221847747092,12247.83094567587,12569.373046875
2003-03-11,12218.601222826088,13095.534324942793,12189.370119422198,12773.9921875
2003-03-12,12861.681934457965,13358.610554652932,12715.526457930035,13212.455078125
2003-03-13,13095.53152173913,13504.76688179348,13037.069327445653,13446.3046875
2003-03-14,14030.929886122882,14615.551964711334,13621.694431110964,13797.0810546875
2003-03-17,13621.689939156107,13621.689939156107,12160.13522465438,12686.294921875
2003-03-18,13563.231886942676,13914.005125398091,13037.072029259554,13767.849609375
2003-03-19,13475.537168305496,13943.234770676187,13212.457266971984,13563.23046875
2003-03-20,13855.538550400152,14674.00918206936,13767.845268435594,14381.6982421875
2003-03-21,14557.089456164884,15287.867039305691,14352.471732885457,15024.787109375
2003-03-24,15200.17140289961,15346.32689715826,14644.78052471674,14995.5537109375
2003-03-25,14323.239657135628,14674.012873228745,14294.008555794535,14440.1640625
2003-03-26,14615.547575323706,14761.703051076944,14440.161004419822,14674.009765625
2003-03-27,14498.626534872299,15054.01747068394,14410.93322921783,14878.630859375
2003-03-28,14966.324902723736,15112.480419351898,14498.627249513618,15024.787109375
2003-03-31,14615.549723307291,14790.936319986979,13943.234436035156,14030.927734375
2003-04-01,13621.695570939533,13709.388890065753,12920.149017929773,13475.5400390625
2003-04-02,13563.228370633187,13650.921657512281,13183.224127490448,13387.841796875
2003-04-03,13855.541470231681,13855.541470231681,13504.768268453665,13563.23046875
2003-04-04,13300.152595318837,14498.627884127789,13300.152595318837,14410.9345703125
2003-04-07,14820.168081146816,15726.332204451652,14703.243678139741,15492.4833984375
2003-04-08,15112.47947755735,15784.794812148877,15083.24837605337,15609.408203125
2003-04-09,15434.021795186642,15463.252897071465,14849.399757490179,14878.630859375
2003-04-10,15141.71052554143,15609.408147951977,14937.092815736816,15521.71484375
2003-04-11,15784.794405955188,16135.567614976415,15229.403491671581,15492.4833984375
2003-04-14,15843.25383377783,16135.564790120594,15667.86725997217,15755.560546875
2003-04-15,16194.031200374318,16252.493406873866,15784.795754877494,16106.337890625
2003-04-16,16544.80693193856,17334.046838585804,16515.57582428496,17246.353515625
2003-04-17,16954.033987713676,17450.96257011218,16807.87852230235,17100.189453125
2003-04-18,17480.199950767,17714.0487795398,17334.044432783998,17626.35546875
2003-04-21,17334.046315104166,17626.357382812497,17129.42856770833,17538.6640625
2003-04-22,17304.80958044983,17421.73396950692,16807.880926957183,16895.57421875
2003-04-23,17480.20094517299,17480.20094517299,16310.956734793526,16369.4189453125
2003-04-24,16369.420381433825,16632.500351849725,15726.336009306067,15901.72265625
2003-04-25,15346.329296119438,15492.484813225337,15054.01826190764,15112.48046875
2003-04-28,14674.013227649202,15550.9462890625,14674.013227649202,15550.9462890625
2003-04-29,15901.720406360426,16690.960205940813,15784.795991607774,16544.8046875
2003-04-30,16544.80353059669,17012.501156903312,16427.879124020037,16778.65234375
2003-05-01,16778.65234375,16778.65234375,16778.65234375,16778.65234375
2003-05-02,16837.1171875,17041.73493109809,16369.41948784722,16837.1171875
2003-05-05,16837.1171875,16837.1171875,16837.1171875,16837.1171875
2003-05-06,17187.886025490614,17567.890308367107,16983.268334710963,17129.423828125
2003-05-07,17363.274704391893,17392.505806587837,16895.577069256757,17304.8125
2003-05-08,17304.8125,17304.8125,17304.8125,17304.8125
2003-05-09,17217.122407971397,17304.815730932205,16807.886900820977,17246.353515625
2003-05-12,17714.04567947013,17977.1255657989,17655.583482508184,17860.201171875
2003-05-13,17918.665646114863,17947.89674831081,17012.50147804054,17304.8125
2003-05-14,16983.27267738329,17334.045951270724,16574.037191181284,16749.423828125
2003-05-15,17187.887350936966,17217.118451873936,16778.65193781942,17158.65625
2003-05-16,16954.03755482456,17129.4241502193,16486.339967105265,16661.7265625
2003-05-19,16310.959198611745,16369.421417961608,15930.954772837636,15989.4169921875
2003-05-20,15697.100110711897,16398.646484375,15609.40681400401,16398.646484375
2003-05-21,16106.336340442005,16398.647344805744,16106.336340442005,16223.2607421875
2003-05-22,16047.87534268466,16603.266292613636,15901.719829545455,16077.1064453125
2003-05-23,16340.188381618922,16866.348293728297,16194.03285047743,16837.1171875
