Price,Open,High,Low,Close
Ticker,005935.KS,005935.KS,005935.KS,005935.KS
Date,,,,
2005-09-29,5842.079442173703,5970.759606098234,5790.607376603891,5829.21142578125
2005-09-30,5842.07763671875,5919.28571121283,5739.133537393309,5842.07763671875
2005-10-03,5842.07763671875,5842.07763671875,5842.07763671875,5842.07763671875
2005-10-04,5835.644714621998,5977.192877490447,5835.644714621998,5893.55078125
2005-10-05,5977.192420372597,6067.268517127404,5893.550330528847,5938.58837890625
2005-10-06,5854.947085703386,5893.551132422309,5745.568953333102,5797.041015625
2005-10-07,5687.661587078652,5752.0016502808985,5642.623542837078,5726.265625
2005-10-10,5739.134089878627,5809.908164978027,5719.832069396973,5764.8701171875
2005-10-11,5758.43674691589,5829.210829838878,5732.700716762076,5777.73876953125
2005-10-12,5700.529052173132,5790.605132004311,5578.282943830819,5597.5849609375
2005-10-13,5533.246817555147,5584.718880974265,5456.0387224264705,5468.90673828125
2005-10-14,5507.510561171783,5539.680599496384,5411.000446197978,5449.6044921875
2005-10-17,5449.6044921875,5449.6044921875,5449.6044921875,5449.6044921875
2005-10-18,5404.565544848172,5468.905610858269,5398.131538247162,5456.03759765625
2005-10-19,5411.000271661932,5449.60431640625,5288.754129971591,5308.05615234375
2005-10-20,5333.792257018008,5346.660272113348,5275.886189088983,5314.490234375
2005-10-21,5256.584230840774,5417.434421502976,5256.584230840774,5404.56640625
2005-10-24,5494.644168921157,5546.116245445009,5430.304073266343,5462.47412109375
2005-10-25,5513.942359092676,5578.282409957235,5430.30029296875,5430.30029296875
2005-10-26,5456.0387224264705,5513.944793772977,5430.3026907169115,5468.90673828125
2005-10-27,5468.906694929176,5552.548797322211,5436.73665554724,5507.5107421875
2005-10-28,5449.604233754294,5462.472248473902,5333.792101277815,5385.26416015625
2005-10-31,5423.868682789522,5468.90673828125,5404.566659007352,5468.90673828125
2005-11-01,5475.338045180612,5546.112097468494,5468.904040427169,5488.2060546875
2005-11-02,5507.509729372099,5558.981782917634,5481.773702599333,5546.11376953125
2005-11-03,5604.019238836115,5713.397341086647,5604.019238836115,5661.92529296875
2005-11-04,5790.606901333286,5829.210947342175,5732.700832319953,5745.56884765625
2005-11-07,5829.2101482382905,5848.512168596695,5655.491965012646,5803.47412109375
2005-11-08,5777.73931563528,5919.2874948601975,5777.73931563528,5867.8154296875
2005-11-09,5867.813924378453,5893.549950362569,5816.341872410221,5822.77587890625
2005-11-10,5829.2114995348675,5835.645507812499,5803.475466424338,5835.6455078125
2005-11-11,5912.853059509145,5964.325120962979,5887.117028782229,5957.89111328125
2005-11-14,6035.09742751504,6073.7014622326205,5970.757369652407,6015.79541015625
2005-11-15,5957.889985584077,6009.362037295387,5854.945882161459,5945.02197265625
2005-11-16,5874.248972094622,6015.797140096902,5874.248972094622,5996.4951171875
2005-11-17,5970.756759034521,5996.492779547601,5899.982702623551,5964.32275390625
2005-11-18,6067.268893526667,6073.702900836875,6002.928820424581,6054.40087890625
2005-11-21,6086.5718230551865,6093.005831324801,5919.287608045213,6047.9677734375
2005-11-22,5932.153827247191,5996.493890449438,5681.2275807584265,5726.265625
2005-11-23,5790.607331928454,5893.551462273849,5790.607331928454,5867.8154296875
2005-11-24,5919.2863963979535,5919.2863963979535,5816.34228515625,5816.34228515625
2005-11-25,5835.643577781883,5842.077583931588,5674.793424039274,5713.3974609375
2005-11-28,5752.00244140625,5797.040491842316,5700.53038376503,5752.00244140625
2005-11-29,5610.454174308691,5745.568323001905,5610.454174308691,5700.5302734375
2005-11-30,5752.00206680467,5854.94617538283,5745.568060018535,5803.47412109375
2005-12-01,5803.474456419428,5887.116549472036,5771.304420629964,5874.24853515625
2005-12-02,5945.020967741936,5996.493010752689,5919.284946236559,5983.625
2005-12-05,5996.494813114373,6067.268893526667,5996.494813114373,6054.40087890625
2005-12-06,6047.969039658368,6073.705078125,5970.760924258474,6073.705078125
2005-12-07,6028.663810930122,6170.211947366049,6022.229804728489,6131.60791015625
2005-12-08,6131.6081717722045,6215.250255962172,6093.004132915296,6112.30615234375
2005-12-09,6015.795638159648,6157.343770822228,6009.361632129531,6035.09765625
2005-12-12,6047.9677734375,6080.137814785572,6022.231740359042,6047.9677734375
2005-12-13,6093.005831324801,6125.175872672872,6009.363723819814,6047.9677734375
2005-12-14,6060.8330645161295,6099.437096774193,5983.625,5983.625
2005-12-15,5970.758413461539,6009.362454927885,5938.58837890625,5938.58837890625
2005-12-16,5854.945615939551,5938.587696167259,5848.511609768189,5880.681640625
2005-12-19,5880.683701565817,6086.571971204883,5874.249693139596,6060.8359375
2005-12-20,6047.9677734375,6047.9677734375,6022.231740359042,6047.9677734375
2005-12-21,6099.43649886989,6176.64455581761,6073.700479887317,6138.04052734375
2005-12-22,6138.04052734375,6138.04052734375,6138.04052734375,6138.04052734375
2005-12-23,6240.987675280449,6292.4597385817315,6228.119659455128,6273.15771484375
2005-12-26,6273.15771484375,6273.15771484375,6273.15771484375,6273.15771484375
2005-12-27,6324.628643786447,6350.364670821184,6260.288576199607,6343.9306640625
2005-12-28,6253.853819800205,6331.0618916495905,6253.853819800205,6279.58984375
2005-12-29,6331.0623488416495,6343.9303617458,6286.024303677126,6318.1943359375
2006-01-02,6324.628342389575,6337.496355293725,6286.024303677126,6318.1943359375
2006-01-03,6369.666276833206,6369.666276833206,6176.64608662614,6350.3642578125
2006-01-04,6408.271988035187,6614.1602446788875,6395.403971994955,6536.9521484375
