Price,Open,High,Low,Close
Ticker,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,
2003-01-01,4423.5869140625,4423.5869140625,4423.5869140625,4423.5869140625
2003-01-02,4494.025481750583,4550.37689844965,4437.674065051517,4529.2451171875
2003-01-03,4719.434800258903,4930.752776389899,4677.171205032704,4846.2255859375
2003-01-06,4888.4859271615705,4951.881277801994,4846.2223600679545,4923.70556640625
2003-01-07,5057.539939267792,5057.539939267792,4818.046404539234,4825.09033203125
2003-01-08,4874.398727596507,4881.442656393612,4768.739795639935,4789.87158203125
2003-01-09,4663.079287502419,4691.2549931670865,4522.2007591790825,4550.37646484375
2003-01-10,4648.992965133102,4684.212608808352,4465.850818021798,4564.4658203125
2003-01-13,4508.115657698057,4712.3896484375,4486.983865552597,4712.3896484375
2003-01-14,4648.993115011415,4684.212759822108,4578.55382539003,4627.861328125
2003-01-15,4648.992965133102,4698.300466278453,4536.2901053723,4564.4658203125
2003-01-16,4508.115056818182,4648.99365234375,4451.763618607954,4648.99365234375
2003-01-17,4613.771706044023,4627.859558581562,4515.15673828125,4515.15673828125
2003-01-20,4395.41044921875,4522.201135253907,4395.41044921875,4508.11328125
2003-01-21,4479.938023486481,4508.113734326019,4430.630529517291,4494.02587890625
2003-01-22,4430.630755918941,4486.982180477528,4353.147547150883,4388.3671875
2003-01-23,4388.367340474189,4486.982336889339,4332.015913951246,4451.7626953125
2003-01-24,4451.764071236023,4465.851932220947,4317.929391879243,4409.50048828125
2003-01-27,4240.446230272784,4296.797675193353,4205.226577197429,4212.2705078125
2003-01-28,4212.271212400754,4324.97412109375,4212.271212400754,4324.97412109375
2003-01-29,4275.663111900997,4317.926668196559,4085.477108570969,4106.60888671875
2003-01-30,4127.740664866531,4162.960295112833,4078.433182521709,4106.60888671875
2003-01-31,4106.60888671875,4106.60888671875,4106.60888671875,4106.60888671875
2003-02-03,4071.3893134732293,4148.872501099882,4029.125756585964,4127.74072265625
2003-02-04,4127.741734095982,4198.181012834822,4113.653878348214,4141.82958984375
2003-02-05,4071.3911770430627,4162.962258879671,4071.3911770430627,4099.56689453125
2003-02-06,4092.5219515204008,4113.6537344026065,3965.7312542271698,3986.863037109375
2003-02-07,3944.599645015967,3972.775356766081,3803.721086265397,3860.072509765625
2003-02-10,3817.8105033916972,3845.9862266639607,3768.502987665236,3796.6787109375
2003-02-11,3803.7212426622928,3881.204453160969,3655.7987498920925,3824.85302734375
2003-02-12,3747.36962890625,3944.599609375,3747.36962890625,3944.599609375
2003-02-13,3930.511950751036,3951.643735432493,3824.85302734375,3824.85302734375
2003-02-14,3803.7220177283652,3845.985595703125,3747.3705804286856,3845.985595703125
2003-02-17,3972.7744913807014,4113.653019443847,3944.5987857680725,4092.521240234375
2003-02-18,4099.56501806474,4134.784648804128,4029.125756585964,4127.74072265625
2003-02-19,4226.357816445708,4339.060691550926,4184.09423828125,4184.09423828125
2003-02-20,4141.829877970042,4268.620588520144,4141.829877970042,4261.57666015625
2003-02-21,4296.795298595302,4296.795298595302,4219.312104686206,4254.53173828125
2003-02-24,4268.620820817347,4423.58725325626,4268.620820817347,4360.19189453125
2003-02-25,4226.357067681347,4254.5327814658895,4078.4345703125,4078.4345703125
2003-02-26,4078.43388345208,4113.65351975132,3979.8189018142057,4000.95068359375
2003-02-27,3944.5997299382716,4022.082938919202,3888.2483052248676,3993.9072265625
2003-02-28,3993.907829707765,4043.2153337782315,3930.5124673314513,3937.556396484375
2003-03-03,3937.557565048994,4155.91943359375,3937.557565048994,4155.91943359375
2003-03-04,4050.259688527961,4071.391478207237,3979.8203895970396,4015.0400390625
2003-03-05,3916.4244950888815,3937.556281932886,3845.9852056088657,3888.248779296875
2003-03-06,3930.5123529848847,3930.5123529848847,3824.853418764861,3888.248779296875
2003-03-07,3845.985127404915,4015.039418719417,3803.7215545762897,3958.68798828125
2003-03-10,4007.996155104712,4071.39152486911,3972.776505235602,4036.171875
2003-03-11,4007.9947359035323,4085.477938179348,3944.5993885869566,4050.25830078125
2003-03-12,4050.258147141029,4106.6095648403825,4036.1702927161905,4085.477783203125
2003-03-13,4092.521710415544,4106.6095648403825,3979.8188750168374,4085.477783203125
2003-03-14,4212.268464112563,4268.619881692664,4127.741337742411,4177.048828125
2003-03-17,4177.05077319675,4184.094703674316,3972.7767893473306,4057.303955078125
2003-03-18,4219.314438427571,4247.490160887855,4134.787271046718,4212.2705078125
2003-03-19,4170.00634765625,4240.445644069362,4141.830629091005,4170.00634765625
2003-03-20,4226.356841894061,4388.3671875,4198.181129614767,4388.3671875
2003-03-21,4388.368755425347,4458.8080612909225,4346.105171906002,4437.67626953125
2003-03-24,4465.85043125,4465.85043125,4381.32329375,4402.455078125
2003-03-25,4324.972624336193,4324.972624336193,4268.621189491421,4310.884765625
2003-03-26,4339.059923673931,4374.279565911544,4268.620639198704,4282.70849609375
2003-03-27,4212.268536693886,4261.5760279260885,4177.048900099456,4205.224609375
2003-03-28,4212.271212400754,4324.97412109375,4177.051553434192,4324.97412109375
2003-03-31,4198.180646869499,4226.356355908891,4000.95068359375,4000.95068359375
2003-04-01,3916.4235564755722,4000.95068359375,3860.072138396787,4000.95068359375
2003-04-02,4015.038104313676,4043.2138103088596,3909.379206831737,3930.510986328125
2003-04-03,4029.125957311268,4050.2577368076554,3930.510986328125,3930.510986328125
2003-04-04,3888.2483052248676,4022.082938919202,3831.896880511464,3993.9072265625
2003-04-07,4057.3040342809363,4233.402299657713,4022.084381205581,4212.2705078125
2003-04-08,4113.655479201505,4247.490160887855,4099.567617971363,4212.2705078125
2003-04-09,4113.655104712042,4141.83082460733,4029.127945026178,4036.171875
2003-04-10,4036.1721636454263,4099.567537943522,3993.9085807800293,4057.303955078125
2003-04-11,4015.0400390625005,4141.830777138158,4007.996109169408,4015.0400390625
2003-04-14,3993.908264694615,4141.8307930166375,3993.908264694615,4022.083984375
2003-04-15,4127.742769808382,4177.0502772975615,4092.5231216018265,4170.00634765625
2003-04-16,4296.796088717793,4402.455008932166,4275.66430467492,4374.279296875
2003-04-17,4324.971005471337,4374.278492504398,4254.53173828125,4254.53173828125
2003-04-18,4374.280894252232,4437.67626953125,4268.621935453869,4437.67626953125
2003-04-21,4395.4125075849515,4465.851810591121,4346.104995480633,4353.14892578125
2003-04-22,4296.7956645205195,4324.971373796064,4191.136754737228,4205.224609375
2003-04-23,4261.574605305989,4303.838155110677,4212.2671305338545,4226.35498046875
2003-04-24,4212.270883540784,4254.5344710010595,4113.655846133475,4155.91943359375
2003-04-25,4085.477938179348,4113.653648097826,4015.038663383152,4050.25830078125
2003-04-28,4007.996109169408,4113.655057565789,3986.864319490132,4015.0400390625
2003-04-29,4134.7863602979405,4247.48922531458,4099.566714980241,4233.4013671875
2003-04-30,4254.532815701845,4317.9281722272035,4219.313173187757,4296.79638671875
2003-05-01,4296.79638671875,4296.79638671875,4296.79638671875,4296.79638671875
2003-05-02,4296.798393920501,4367.237711853624,4233.40300778069,4324.97412109375
2003-05-05,4324.97412109375,4324.97412109375,4324.97412109375,4324.97412109375
2003-05-06,4374.2808358189395,4451.764071236023,4374.2808358189395,4409.50048828125
2003-05-07,4465.850185531593,4508.113751956182,4367.23519720755,4501.06982421875
2003-05-08,4501.06982421875,4501.06982421875,4501.06982421875,4501.06982421875
2003-05-09,4451.764189422319,4486.983842819647,4409.5006053455245,4465.85205078125
2003-05-12,4578.552806049312,4641.94815259461,4550.377096473624,4606.728515625
2003-05-13,4606.729118250593,4606.729118250593,4430.630910366396,4451.7626953125
2003-05-14,4409.4993957618135,4437.675110750706,4346.104037036803,4360.19189453125
2003-05-15,4395.412686011905,4465.85199187748,4332.0173107328865,4437.67626953125
2003-05-16,4409.5013026134975,4444.720961580059,4324.97412109375,4324.97412109375
2003-05-19,4261.57759048614,4289.75331009266,4212.27008117473,4240.44580078125
2003-05-20,4170.006665477162,4324.973129396921,4162.96273529899,4317.92919921875
2003-05-21,4289.752424541272,4346.103852121453,4261.576710751182,4282.70849609375
2003-05-22,4247.486755371094,4346.101704915364,4205.223205566406,4226.35498046875
2003-05-23,4282.709234775641,4402.45603903746,4275.665305113181,4395.412109375
2003-05-26,4395.412743986593,4486.983842819647,4346.105229230333,4465.85205078125
2003-05-27,4437.674770476712,4479.938339719347,4388.367273026971,4423.5869140625
2003-05-28,4564.465227073598,4585.597010532272,4486.982021058459,4522.20166015625
2003-05-29,4522.201781286114,4606.728917384919,4479.938213236711,4571.50927734375
2003-05-30,4571.50974904755,4585.597606517651,4508.114390432099,4564.4658203125
2003-06-02,4634.904472305389,4719.431605538923,4634.904472305389,4705.34375
2003-06-03,4613.772316037964,4648.991952038254,4557.4208984375,4557.4208984375
2003-06-04,4592.64121568674,4634.90478515625,4529.245861482475,4634.90478515625
